epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11733.4,1.48792,3.22177,1.40779,0.67153,0.61175,0.64959,0.34414,1.70085,3.74582,1.50734,0.000235404,0.000235404,0.000235404
43,12017.1,1.48238,3.18878,1.40087,0.67545,0.60984,0.64992,0.34449,1.70032,3.73993,1.507,0.000214046,0.000214046,0.000214046
44,12299.5,1.47836,3.15732,1.39819,0.67977,0.60421,0.64929,0.34474,1.70018,3.73638,1.50765,0.000193486,0.000193486,0.000193486
45,12580.7,1.47543,3.13004,1.39362,0.67797,0.60522,0.64942,0.34598,1.69983,3.73429,1.50759,0.00017378,0.00017378,0.00017378
46,12862,1.46759,3.11313,1.38567,0.67717,0.60635,0.64956,0.34656,1.6994,3.72924,1.50619,0.000154982,0.000154982,0.000154982
47,13148.1,1.46327,3.07591,1.38285,0.6854,0.60346,0.65054,0.34772,1.70017,3.72631,1.50581,0.000137143,0.000137143,0.000137143
48,13428.1,1.46693,3.08732,1.38396,0.68773,0.60387,0.65072,0.34753,1.70113,3.72205,1.50528,0.000120313,0.000120313,0.000120313
49,13708.9,1.45411,3.03239,1.37819,0.67822,0.60991,0.65115,0.34784,1.70125,3.72385,1.5052,0.000104537,0.000104537,0.000104537
50,13992.9,1.45118,3.01195,1.37714,0.68073,0.6078,0.65061,0.34816,1.70222,3.72508,1.5059,8.98581e-05,8.98581e-05,8.98581e-05
51,14274.5,1.45305,2.98486,1.37203,0.6803,0.60754,0.65091,0.34831,1.70336,3.72301,1.50596,7.63174e-05,7.63174e-05,7.63174e-05
52,14557.1,1.44838,2.99506,1.37288,0.67987,0.6077,0.65093,0.34857,1.70347,3.72315,1.50601,6.39518e-05,6.39518e-05,6.39518e-05
53,14837.2,1.44843,2.97061,1.3721,0.68006,0.60854,0.65141,0.34852,1.70404,3.72374,1.50594,5.2795e-05,5.2795e-05,5.2795e-05
54,15118.6,1.44314,2.95794,1.36949,0.6809,0.60856,0.65158,0.34851,1.70384,3.72217,1.50569,4.28777e-05,4.28777e-05,4.28777e-05
55,15399.7,1.43691,2.96277,1.3658,0.6799,0.60917,0.65195,0.34853,1.70359,3.72095,1.50575,3.4227e-05,3.4227e-05,3.4227e-05
56,15683.4,1.43987,2.72006,1.39716,0.68173,0.6067,0.65135,0.34894,1.705,3.72108,1.50617,2.68667e-05,2.68667e-05,2.68667e-05
57,15950.7,1.43133,2.69197,1.39163,0.68182,0.60602,0.65066,0.34874,1.70557,3.72164,1.5059,2.08169e-05,2.08169e-05,2.08169e-05
58,16216.7,1.42384,2.66327,1.38687,0.68148,0.60743,0.65083,0.34871,1.70637,3.72495,1.50585,1.60943e-05,1.60943e-05,1.60943e-05
59,16482.2,1.41873,2.65522,1.38401,0.67951,0.60923,0.65109,0.34862,1.70679,3.72718,1.50579,1.27117e-05,1.27117e-05,1.27117e-05
60,16746.8,1.42123,2.66088,1.38622,0.67921,0.60902,0.65166,0.34887,1.70671,3.72621,1.50583,1.06784e-05,1.06784e-05,1.06784e-05
